店舗:,千葉県ワンダーホール
日付,時間,出勤数,待機
2023-05-03,01:19,13,3
2023-05-03,02:13,10,1
2023-05-03,03:18,8,4
2023-05-03,04:12,8,7
2023-05-03,05:15,3,3
2023-05-03,06:12,1,1
2023-05-03,07:13,15,2
2023-05-03,08:14,14,1
2023-05-03,10:15,15,1
2023-05-03,11:30,16,1
2023-05-03,12:15,18,1
2023-05-03,13:17,18,2
2023-05-03,14:13,18,2
2023-05-03,15:18,18,5
2023-05-03,16:14,18,5
2023-05-03,17:18,18,12
2023-05-03,18:14,18,14
2023-05-03,19:15,17,12
2023-05-03,20:12,15,11
2023-05-03,21:29,17,12
2023-05-03,22:17,18,15
2023-05-03,23:13,16,13
2023-05-04,00:15,16,10
2023-05-04,01:19,14,12
2023-05-04,02:12,9,7
2023-05-04,03:17,6,5
2023-05-04,04:11,6,5
2023-05-04,05:15,2,2
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,13,1
2023-05-04,10:12,12,1
2023-05-04,11:30,13,1
2023-05-04,12:15,13,1
2023-05-04,13:17,12,1
2023-05-04,14:13,12,2
2023-05-04,15:18,13,1
2023-05-04,16:14,13,1
2023-05-04,17:18,13,5
2023-05-04,18:14,14,3
2023-05-04,19:15,14,4
2023-05-04,20:12,14,7
2023-05-04,21:28,14,5
2023-05-04,22:18,14,3
2023-05-04,23:13,14,5
2023-05-05,00:15,13,5
2023-05-05,01:28,12,6
2023-05-05,02:12,11,4
2023-05-05,03:18,9,6
2023-05-05,04:11,7,6
2023-05-05,05:15,3,3
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,20,1
2023-05-05,10:07,20,1
2023-05-05,11:29,20,1
2023-05-05,12:15,20,1
2023-05-05,13:17,20,2
2023-05-05,14:13,20,4
2023-05-05,15:19,20,5
2023-05-05,16:13,19,5
2023-05-05,17:17,18,8
2023-05-05,18:14,16,8
2023-05-05,19:15,18,13
2023-05-05,20:12,17,10
2023-05-05,21:27,17,11
2023-05-05,22:17,17,11
2023-05-05,23:13,16,10
2023-05-06,00:14,13,8
2023-05-06,01:19,12,6
2023-05-06,02:12,11,10
2023-05-06,03:17,8,6
2023-05-06,04:11,8,6
2023-05-06,05:14,4,4
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,1,1
2023-05-06,11:27,14,1
2023-05-06,12:15,14,1
2023-05-06,13:16,14,2
2023-05-06,14:13,15,2
2023-05-06,15:17,15,5
2023-05-06,16:13,13,8
2023-05-06,17:16,12,9
2023-05-06,18:13,11,8
2023-05-06,19:14,11,8
2023-05-06,20:11,0,0
2023-05-06,21:26,12,6
2023-05-06,22:15,11,5
2023-05-06,23:11,12,4
2023-05-07,00:13,10,5
2023-05-07,01:17,10,5
2023-05-07,02:11,8,6
2023-05-07,03:17,5,5
2023-05-07,04:10,4,2
2023-05-07,05:13,3,3
2023-05-07,06:12,2,1
2023-05-07,07:12,2,1
2023-05-07,08:14,10,2
2023-05-07,10:18,9,2
2023-05-07,11:35,9,2
2023-05-07,12:15,9,1
2023-05-07,13:17,9,1
2023-05-07,14:13,8,3
2023-05-07,15:18,8,2
2023-05-07,16:12,9,4
2023-05-07,17:16,8,5
2023-05-07,18:13,8,5
2023-05-07,19:14,8,4
2023-05-07,20:11,8,5
2023-05-07,21:26,8,5
2023-05-07,22:15,7,4
2023-05-07,23:12,6,4
