店舗:,千葉県Tバックス
日付,時間,出勤数,待機
2023-05-03,01:19,8,2
2023-05-03,02:13,8,2
2023-05-03,03:18,7,2
2023-05-03,04:12,6,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,20,6
2023-05-03,11:30,20,3
2023-05-03,12:15,20,2
2023-05-03,13:17,20,5
2023-05-03,14:13,20,5
2023-05-03,15:18,19,5
2023-05-03,16:14,19,5
2023-05-03,17:18,19,12
2023-05-03,18:14,18,13
2023-05-03,19:15,18,13
2023-05-03,20:12,15,9
2023-05-03,21:29,14,8
2023-05-03,22:17,11,7
2023-05-03,23:13,11,7
2023-05-04,00:15,9,5
2023-05-04,01:19,8,5
2023-05-04,02:12,7,5
2023-05-04,03:17,6,6
2023-05-04,04:11,5,4
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,22,3
2023-05-04,11:30,22,2
2023-05-04,12:15,22,4
2023-05-04,13:17,22,3
2023-05-04,14:13,22,4
2023-05-04,15:18,22,3
2023-05-04,16:14,22,7
2023-05-04,17:18,21,9
2023-05-04,18:14,19,15
2023-05-04,19:15,17,11
2023-05-04,20:12,16,12
2023-05-04,21:28,15,10
2023-05-04,22:18,12,7
2023-05-04,23:13,11,7
2023-05-05,00:15,11,9
2023-05-05,01:28,11,6
2023-05-05,02:12,11,6
2023-05-05,03:18,8,4
2023-05-05,04:11,6,6
