店舗:,千葉県gossip girl
日付,時間,出勤数,待機
2023-05-03,01:19,2,2
2023-05-03,02:13,2,2
2023-05-03,03:18,2,2
2023-05-03,04:12,2,2
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,2,2
2023-05-03,13:17,4,4
2023-05-03,14:13,9,8
2023-05-03,15:18,10,8
2023-05-03,16:14,13,12
2023-05-03,17:18,17,17
2023-05-03,18:14,18,18
2023-05-03,19:15,15,15
2023-05-03,20:12,16,16
2023-05-03,21:29,16,16
2023-05-03,22:17,15,15
2023-05-03,23:13,12,10
2023-05-04,00:15,2,1
2023-05-04,01:19,2,1
2023-05-04,02:12,2,2
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
