店舗:,千葉県アールズ
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,3,2
2023-05-03,07:13,3,1
2023-05-03,08:14,8,1
2023-05-03,10:15,8,6
2023-05-03,11:30,8,6
2023-05-03,12:15,12,7
2023-05-03,13:17,12,9
2023-05-03,14:13,13,10
2023-05-03,15:18,13,11
2023-05-03,16:14,13,8
2023-05-03,17:18,13,9
2023-05-03,18:14,13,12
2023-05-03,19:15,13,9
2023-05-03,20:12,13,11
2023-05-03,21:29,12,11
2023-05-03,22:17,12,11
