店舗:,千葉県不二子
日付,時間,出勤数,待機
2023-05-03,01:19,2,2
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,2,2
2023-05-03,12:15,2,2
2023-05-03,13:17,3,3
2023-05-03,14:13,5,5
2023-05-03,15:18,6,6
2023-05-03,16:14,6,6
2023-05-03,17:18,4,4
2023-05-03,18:14,4,4
2023-05-03,19:15,3,3
2023-05-03,20:12,2,2
2023-05-03,21:29,3,3
2023-05-03,22:17,3,3
2023-05-03,23:13,3,3
2023-05-04,00:15,3,3
2023-05-04,01:19,3,3
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,3,3
2023-05-04,12:15,3,3
2023-05-04,13:17,3,3
2023-05-04,14:13,3,3
2023-05-04,15:18,6,6
2023-05-04,16:14,7,7
2023-05-04,17:18,6,6
2023-05-04,18:14,5,5
2023-05-04,19:15,4,4
2023-05-04,20:12,4,4
2023-05-04,21:28,3,3
2023-05-04,22:18,3,3
2023-05-04,23:13,2,2
2023-05-05,00:15,3,3
2023-05-05,01:28,3,3
2023-05-05,02:12,2,2
2023-05-05,03:18,1,1
