店舗:,千葉県OL委員会
日付,時間,出勤数,待機
2023-05-03,01:19,7,7
2023-05-03,02:13,7,7
2023-05-03,03:18,7,7
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,20,1
2023-05-03,08:14,20,1
2023-05-03,10:15,21,8
2023-05-03,11:30,21,8
2023-05-03,12:15,21,11
2023-05-03,13:17,20,10
2023-05-03,14:13,21,11
2023-05-03,15:18,21,12
2023-05-03,16:14,21,15
2023-05-03,17:18,21,15
2023-05-03,18:14,17,14
2023-05-03,19:15,17,14
2023-05-03,20:12,17,14
2023-05-03,21:29,13,12
2023-05-03,22:17,12,11
2023-05-03,23:13,11,10
2023-05-04,00:15,8,8
2023-05-04,01:19,7,7
2023-05-04,02:12,7,7
2023-05-04,03:17,7,7
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,18,1
2023-05-04,08:14,19,1
2023-05-04,10:12,20,8
2023-05-04,11:30,20,8
2023-05-04,12:15,19,10
2023-05-04,13:17,19,11
2023-05-04,14:13,19,12
2023-05-04,15:18,19,12
2023-05-04,16:14,17,14
2023-05-04,17:18,17,14
2023-05-04,18:14,15,12
2023-05-04,19:15,15,12
2023-05-04,20:12,14,12
2023-05-04,21:28,12,12
2023-05-04,22:18,9,9
2023-05-04,23:13,8,8
2023-05-05,00:15,7,7
2023-05-05,01:28,6,6
2023-05-05,02:12,6,6
2023-05-05,03:18,6,6
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,23,1
2023-05-05,08:15,23,1
2023-05-05,10:07,25,5
2023-05-05,11:29,24,5
2023-05-05,12:15,24,9
2023-05-05,13:17,24,10
2023-05-05,14:13,25,12
2023-05-05,15:19,25,15
2023-05-05,16:13,24,15
2023-05-05,17:17,24,16
2023-05-05,18:14,23,16
2023-05-05,19:15,14,8
2023-05-05,20:12,19,14
2023-05-05,21:27,17,16
2023-05-05,22:17,16,15
2023-05-05,23:13,14,13
2023-05-06,00:14,13,13
2023-05-06,01:19,12,12
2023-05-06,02:12,11,11
2023-05-06,03:17,10,10
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,23,1
2023-05-06,10:10,23,8
2023-05-06,11:27,23,8
2023-05-06,12:15,23,12
2023-05-06,13:16,23,12
2023-05-06,14:13,22,11
2023-05-06,15:17,22,11
2023-05-06,16:13,20,14
2023-05-06,17:16,19,13
2023-05-06,18:13,17,11
2023-05-06,19:14,16,10
2023-05-06,20:11,15,11
2023-05-06,21:26,13,11
2023-05-06,22:15,11,10
2023-05-06,23:11,11,11
2023-05-07,00:13,10,10
2023-05-07,01:17,10,10
2023-05-07,02:11,10,10
2023-05-07,03:17,10,10
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,1,1
2023-05-07,07:12,16,1
2023-05-07,08:14,16,1
2023-05-07,10:18,16,5
2023-05-07,11:35,16,5
2023-05-07,12:15,16,6
2023-05-07,13:17,16,6
2023-05-07,14:13,15,9
2023-05-07,15:18,14,8
2023-05-07,16:12,14,11
2023-05-07,17:16,13,10
2023-05-07,18:13,10,8
2023-05-07,19:14,10,9
2023-05-07,20:11,10,9
2023-05-07,21:26,9,9
2023-05-07,22:15,8,8
2023-05-07,23:12,8,8
2023-05-08,00:14,7,7
2023-05-08,01:17,7,7
2023-05-08,02:12,5,5
2023-05-08,03:16,5,5
2023-05-08,04:10,1,1
2023-05-08,05:14,1,1
2023-05-08,06:12,19,1
2023-05-08,07:13,19,1
2023-05-08,08:13,19,1
2023-05-08,10:12,19,5
2023-05-08,11:32,19,5
2023-05-08,12:15,19,8
2023-05-08,13:17,19,8
2023-05-08,14:14,19,8
