店舗:,ツバキファースト
日付,時間,出勤数,待機
2023-04-10,03:16,36,0
2023-04-10,04:10,36,0
2023-04-10,05:14,36,0
2023-04-10,06:11,36,0
2023-04-10,07:12,36,0
2023-04-10,08:13,36,0
2023-04-10,10:11,32,0
2023-04-10,11:28,30,4
2023-04-10,13:17,24,10
2023-04-10,14:14,24,14
2023-04-10,17:18,12,8
2023-04-10,19:15,10,6
2023-04-10,20:11,6,4
2023-04-10,21:28,0,0
2023-04-10,23:12,0,0
2023-04-11,00:13,22,0
2023-04-11,02:12,22,0
2023-04-11,03:18,22,0
2023-04-11,05:15,22,0
2023-04-11,06:12,22,0
2023-04-11,07:13,22,0
2023-04-11,08:14,22,0
2023-04-11,10:12,16,2
2023-04-11,11:30,16,0
2023-04-11,13:17,16,6
2023-04-11,15:19,10,2
2023-04-11,16:14,8,2
2023-04-11,17:19,8,4
2023-04-11,19:16,6,2
2023-04-11,20:12,6,0
2023-04-11,21:29,6,4
2023-04-11,22:18,6,4
2023-04-12,10:12,16,2
2023-04-12,11:30,16,4
2023-04-12,12:15,16,4
2023-04-12,13:17,16,6
2023-04-12,14:13,14,4
2023-04-12,15:19,14,6
2023-04-12,16:13,12,6
2023-04-12,17:18,12,6
2023-04-12,19:15,8,4
2023-04-12,22:18,2,2
2023-04-14,00:15,0,0
2023-04-14,01:18,16,0
2023-04-14,02:12,16,0
2023-04-14,03:18,16,0
2023-04-14,04:11,16,0
2023-04-14,05:15,16,0
2023-04-14,06:12,16,0
2023-04-14,07:13,16,0
2023-04-14,08:14,16,0
2023-04-14,10:13,16,4
2023-04-14,11:29,14,2
2023-04-14,12:15,12,6
2023-04-14,13:17,12,8
2023-04-14,14:13,10,6
2023-04-14,15:19,4,0
2023-04-14,16:13,4,2
2023-04-14,17:18,4,2
2023-04-14,18:14,4,0
2023-04-14,19:15,2,0
2023-04-14,20:12,4,0
2023-04-14,21:28,4,2
2023-04-14,22:18,4,4
2023-04-14,23:13,2,2
2023-04-15,00:15,26,0
2023-04-15,01:19,26,0
2023-04-15,02:11,26,0
2023-04-15,03:17,26,0
2023-04-15,04:11,26,0
2023-04-15,05:15,26,0
2023-04-15,06:12,26,0
2023-04-15,07:13,26,0
2023-04-15,08:14,26,0
2023-04-15,10:15,22,0
2023-04-15,11:30,20,0
2023-04-15,12:15,18,2
2023-04-15,13:17,16,2
2023-04-15,14:13,16,4
2023-04-15,15:17,14,0
2023-04-15,16:12,14,4
2023-04-15,17:17,10,0
2023-04-15,18:13,8,2
2023-04-15,19:14,7,0
2023-04-15,20:11,8,6
2023-04-15,21:26,6,4
2023-04-15,22:15,4,4
2023-04-15,23:12,2,0
2023-04-16,00:13,0,0
2023-04-16,01:18,20,0
2023-04-16,02:12,20,0
2023-04-16,03:17,20,0
2023-04-16,04:11,20,0
2023-04-16,05:14,20,0
2023-04-16,06:12,20,0
2023-04-16,07:13,20,0
2023-04-16,08:13,20,0
2023-04-16,10:17,18,0
2023-04-16,11:34,18,2
2023-04-16,12:15,16,0
2023-04-16,13:17,16,4
2023-04-16,14:13,16,8
2023-04-16,15:18,16,6
2023-04-16,16:12,14,4
2023-04-16,17:17,12,6
2023-04-16,18:13,8,6
2023-04-16,19:14,8,2
2023-04-16,20:11,8,6
2023-04-16,21:26,6,0
2023-04-16,22:16,4,4
2023-04-17,00:13,22,14
2023-04-17,01:18,20,12
2023-04-17,02:12,12,6
2023-04-17,03:17,12,4
2023-04-17,04:11,12,4
2023-04-17,05:14,8,0
2023-04-17,06:12,8,0
2023-04-17,07:13,8,0
2023-04-17,08:14,8,0
2023-04-17,10:14,35,0
2023-04-17,11:31,35,4
2023-04-17,12:15,35,10
2023-04-17,13:18,35,8
2023-04-17,14:14,33,16
2023-04-17,15:19,32,12
2023-04-17,16:14,32,14
2023-04-17,17:19,32,14
2023-04-17,18:15,32,16
2023-04-17,19:16,32,6
2023-04-17,20:12,32,6
2023-04-17,21:30,28,12
2023-04-17,22:18,28,10
2023-04-17,23:14,28,8
2023-04-18,00:15,26,14
2023-04-18,01:19,22,8
2023-04-18,02:13,14,2
2023-04-18,03:18,8,0
2023-04-18,04:10,8,0
2023-04-18,05:15,8,0
2023-04-18,06:12,12,0
2023-04-18,07:13,12,0
2023-04-18,08:14,34,0
2023-04-18,10:12,38,4
2023-04-18,11:30,38,6
2023-04-18,12:15,38,8
2023-04-18,13:18,38,8
2023-04-18,14:13,36,6
2023-04-18,15:19,38,12
