店舗:,東京クロエ
日付,時間,出勤数,待機
2023-05-03,01:19,9,6
2023-05-03,02:13,9,7
2023-05-03,03:18,9,6
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,0,0
2023-05-03,11:30,0,0
2023-05-03,12:15,25,13
2023-05-03,13:17,23,12
2023-05-03,14:13,21,11
2023-05-03,15:18,21,11
2023-05-03,16:14,21,13
2023-05-03,17:18,21,15
2023-05-03,18:14,21,16
2023-05-03,19:15,21,15
2023-05-03,20:12,19,12
2023-05-03,21:29,15,10
2023-05-03,22:17,15,11
2023-05-03,23:13,13,9
2023-05-04,00:15,9,6
2023-05-04,01:19,9,5
2023-05-04,02:12,7,4
2023-05-04,03:17,5,4
2023-05-04,04:11,3,2
2023-05-04,05:15,3,2
