店舗:,東京E+品川
日付,時間,出勤数,待機
2023-05-03,01:19,8,8
2023-05-03,02:13,5,5
2023-05-03,03:18,5,5
2023-05-03,04:12,2,2
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,24,11
2023-05-03,11:30,24,11
2023-05-03,12:15,24,11
2023-05-03,13:17,22,10
2023-05-03,14:13,22,11
2023-05-03,15:18,22,12
2023-05-03,16:14,22,11
2023-05-03,17:18,18,11
2023-05-03,18:14,16,10
2023-05-03,19:15,14,9
2023-05-03,20:12,12,8
2023-05-03,21:29,10,7
2023-05-03,22:17,10,9
2023-05-03,23:13,6,5
2023-05-04,00:15,4,3
2023-05-04,01:19,4,2
2023-05-04,02:12,4,3
2023-05-04,03:17,3,3
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,23,11
2023-05-04,12:15,22,11
2023-05-04,13:17,23,10
2023-05-04,14:13,21,10
2023-05-04,15:18,20,10
2023-05-04,16:14,18,9
2023-05-04,17:18,18,11
2023-05-04,18:14,15,13
2023-05-04,19:15,15,13
2023-05-04,20:12,13,10
2023-05-04,21:28,8,7
2023-05-04,22:18,8,5
2023-05-04,23:13,8,5
2023-05-05,00:15,8,5
2023-05-05,01:28,8,7
2023-05-05,02:12,4,3
2023-05-05,03:18,4,4
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,1,1
2023-05-05,11:29,18,9
