店舗:,東京ホワイトベル
日付,時間,出勤数,待機
2023-05-03,01:19,11,4
2023-05-03,02:13,11,3
2023-05-03,03:18,11,8
2023-05-03,04:12,11,6
2023-05-03,05:15,8,5
2023-05-03,06:12,4,4
2023-05-03,07:13,12,3
2023-05-03,08:14,12,1
2023-05-03,10:15,13,2
2023-05-03,11:30,15,2
2023-05-03,12:15,15,3
2023-05-03,13:17,15,3
2023-05-03,14:13,15,3
2023-05-03,15:18,15,4
2023-05-03,16:14,15,5
2023-05-03,17:18,14,3
2023-05-03,18:14,14,4
2023-05-03,19:15,13,2
2023-05-03,20:12,13,4
2023-05-03,21:29,11,2
2023-05-03,22:17,10,4
2023-05-03,23:13,9,6
2023-05-04,00:15,8,5
2023-05-04,01:19,9,8
2023-05-04,02:12,9,3
2023-05-04,03:17,9,5
2023-05-04,04:11,8,6
2023-05-04,05:15,6,6
2023-05-04,06:13,14,5
2023-05-04,07:14,14,4
2023-05-04,08:14,14,2
2023-05-04,10:12,14,2
2023-05-04,11:30,14,2
2023-05-04,12:15,14,3
2023-05-04,13:17,14,3
2023-05-04,14:13,14,4
2023-05-04,15:18,14,3
2023-05-04,16:14,14,4
2023-05-04,17:18,14,5
2023-05-04,18:14,14,5
2023-05-04,19:15,14,5
2023-05-04,20:12,10,2
2023-05-04,21:28,8,1
2023-05-04,22:18,8,1
2023-05-04,23:13,6,2
2023-05-05,00:15,6,3
2023-05-05,01:28,6,4
2023-05-05,02:12,6,3
2023-05-05,03:18,6,5
2023-05-05,04:11,6,5
2023-05-05,05:15,5,5
2023-05-05,06:12,5,5
2023-05-05,07:13,5,3
2023-05-05,08:15,12,2
2023-05-05,10:07,13,2
2023-05-05,11:29,13,2
2023-05-05,12:15,13,2
2023-05-05,13:17,14,3
2023-05-05,14:13,13,4
2023-05-05,15:19,13,3
2023-05-05,16:13,13,4
2023-05-05,17:17,12,3
2023-05-05,18:14,11,2
2023-05-05,19:15,11,4
2023-05-05,20:12,9,2
2023-05-05,21:27,9,3
2023-05-05,22:17,9,4
