店舗:,東京リュクス
日付,時間,出勤数,待機
2023-05-03,01:19,10,1
2023-05-03,02:13,10,1
2023-05-03,03:18,10,1
2023-05-03,04:12,10,1
2023-05-03,05:15,10,1
2023-05-03,06:12,10,1
2023-05-03,07:13,10,1
2023-05-03,08:14,10,1
2023-05-03,10:15,10,1
2023-05-03,11:30,10,7
2023-05-03,12:15,10,7
2023-05-03,13:17,7,2
2023-05-03,14:13,6,3
2023-05-03,15:18,6,3
2023-05-03,16:14,6,6
2023-05-03,17:18,6,6
2023-05-03,18:14,6,6
2023-05-03,19:15,6,6
2023-05-03,20:12,3,3
2023-05-03,21:29,1,1
2023-05-03,22:17,1,1
2023-05-03,23:13,1,1
2023-05-04,00:15,1,1
2023-05-04,01:19,10,1
2023-05-04,02:12,10,1
2023-05-04,03:17,10,1
2023-05-04,04:11,10,1
2023-05-04,05:15,10,1
2023-05-04,06:13,10,1
2023-05-04,07:14,10,1
2023-05-04,08:14,10,1
2023-05-04,10:12,10,1
2023-05-04,11:30,9,3
2023-05-04,12:15,9,3
2023-05-04,13:17,10,2
2023-05-04,14:13,10,4
2023-05-04,15:18,9,3
