店舗:,東京アリスカフェ
日付,時間,出勤数,待機
2023-05-03,01:19,20,1
2023-05-03,02:13,20,1
2023-05-03,03:18,20,1
2023-05-03,04:12,20,1
2023-05-03,05:15,20,1
2023-05-03,06:12,20,1
2023-05-03,07:13,20,1
2023-05-03,08:14,20,1
2023-05-03,10:15,20,4
2023-05-03,11:30,20,5
2023-05-03,12:15,18,7
2023-05-03,13:17,18,7
2023-05-03,14:13,17,5
2023-05-03,15:18,16,5
2023-05-03,16:14,14,9
2023-05-03,17:18,14,9
2023-05-03,18:14,13,10
2023-05-03,19:15,9,8
2023-05-03,20:12,9,8
2023-05-03,21:29,6,5
2023-05-03,22:17,0,0
2023-05-03,23:13,0,0
2023-05-04,00:15,1,1
2023-05-04,01:19,15,1
2023-05-04,02:12,15,1
2023-05-04,03:17,15,1
2023-05-04,04:11,15,1
2023-05-04,05:15,15,1
2023-05-04,06:13,15,1
2023-05-04,07:14,15,1
2023-05-04,08:14,15,1
2023-05-04,10:12,14,4
2023-05-04,11:30,14,4
2023-05-04,12:15,13,4
2023-05-04,13:17,11,2
2023-05-04,14:13,10,4
2023-05-04,15:18,9,5
2023-05-04,16:14,9,2
2023-05-04,17:18,9,7
2023-05-04,18:14,9,8
2023-05-04,19:15,6,5
2023-05-04,20:12,6,6
2023-05-04,21:28,3,3
2023-05-04,22:18,2,1
2023-05-04,23:13,2,2
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
2023-05-05,02:12,1,1
2023-05-05,03:18,6,1
2023-05-05,04:11,19,1
2023-05-05,05:15,19,1
2023-05-05,06:12,19,1
2023-05-05,07:13,19,1
2023-05-05,08:15,19,1
2023-05-05,10:07,19,5
2023-05-05,11:29,19,5
2023-05-05,12:15,18,5
2023-05-05,13:17,18,5
2023-05-05,14:13,17,8
2023-05-05,15:19,17,11
2023-05-05,16:13,14,9
2023-05-05,17:17,11,9
2023-05-05,18:14,10,9
2023-05-05,19:15,9,8
2023-05-05,20:12,7,7
2023-05-05,21:27,4,3
2023-05-05,22:17,2,1
2023-05-05,23:13,2,2
2023-05-06,00:14,1,1
2023-05-06,01:19,15,1
2023-05-06,02:12,15,1
2023-05-06,03:17,15,1
2023-05-06,04:11,15,1
2023-05-06,05:14,15,1
2023-05-06,06:12,15,1
2023-05-06,07:13,15,1
2023-05-06,08:14,15,1
2023-05-06,10:10,14,4
2023-05-06,11:27,14,5
2023-05-06,12:15,12,6
2023-05-06,13:16,12,6
2023-05-06,14:13,12,7
2023-05-06,15:17,11,7
2023-05-06,16:13,10,5
2023-05-06,17:16,9,5
2023-05-06,18:13,8,2
2023-05-06,19:14,8,5
2023-05-06,20:11,4,3
2023-05-06,21:26,4,3
2023-05-06,22:15,4,2
2023-05-06,23:11,2,1
2023-05-07,00:13,1,1
2023-05-07,01:17,13,1
2023-05-07,02:11,13,1
2023-05-07,03:17,13,1
2023-05-07,04:10,13,1
2023-05-07,05:13,13,1
2023-05-07,06:12,13,1
2023-05-07,07:12,13,1
2023-05-07,08:14,13,1
2023-05-07,10:18,11,3
2023-05-07,11:35,11,4
2023-05-07,12:15,11,5
2023-05-07,13:17,10,4
