店舗:,いちゃいちゃ♡パラダイス
日付,時間,出勤数,待機
2023-04-10,03:16,0,0
2023-04-10,04:10,0,0
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,32,0
2023-04-10,11:28,32,2
2023-04-10,13:17,30,10
2023-04-10,14:14,30,10
2023-04-10,17:18,32,16
2023-04-10,19:15,30,20
2023-04-10,20:11,26,12
2023-04-10,21:28,20,12
2023-04-10,23:12,12,8
2023-04-11,00:13,6,4
2023-04-11,02:12,0,0
2023-04-11,03:18,0,0
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,42,6
2023-04-11,11:30,42,2
2023-04-11,13:17,40,6
2023-04-11,15:19,32,2
2023-04-11,16:14,30,10
2023-04-11,17:19,27,10
2023-04-11,19:16,20,4
2023-04-11,20:12,16,8
2023-04-11,21:29,18,12
2023-04-11,22:18,16,10
2023-04-12,10:12,34,6
2023-04-12,11:30,34,6
2023-04-12,12:15,34,8
2023-04-12,13:17,34,12
2023-04-12,14:13,34,12
2023-04-12,15:19,30,10
