店舗:,東京にゃんだフル池袋
日付,時間,出勤数,待機
2023-05-03,01:19,8,8
2023-05-03,02:13,8,8
2023-05-03,03:18,8,8
2023-05-03,04:12,6,6
2023-05-03,05:15,3,3
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,5,2
2023-05-03,12:15,5,3
2023-05-03,13:17,7,5
2023-05-03,14:13,8,7
2023-05-03,15:18,9,8
2023-05-03,16:14,9,8
2023-05-03,17:18,11,8
2023-05-03,18:14,10,8
2023-05-03,19:15,11,8
2023-05-03,20:12,11,7
2023-05-03,21:29,10,8
2023-05-03,22:17,10,9
2023-05-03,23:13,11,10
2023-05-04,00:15,11,11
2023-05-04,01:19,11,11
2023-05-04,02:12,10,10
2023-05-04,03:17,9,9
2023-05-04,04:11,9,9
2023-05-04,05:15,4,4
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,6,2
2023-05-04,11:30,7,5
2023-05-04,12:15,7,6
2023-05-04,13:17,8,7
