店舗:,すすきの医乳
日付,時間,出勤数,待機
2023-05-03,01:19,11,8
2023-05-03,02:13,7,4
2023-05-03,03:18,6,6
2023-05-03,04:12,0,0
2023-05-03,05:15,0,0
2023-05-03,06:12,0,0
2023-05-03,07:13,0,0
2023-05-03,08:14,0,0
2023-05-03,10:15,4,2
2023-05-03,11:30,6,4
2023-05-03,12:15,8,6
2023-05-03,13:17,8,8
2023-05-03,14:13,8,6
2023-05-03,15:18,6,2
2023-05-03,16:14,8,4
2023-05-03,17:18,12,4
2023-05-03,18:14,16,8
2023-05-03,19:15,14,10
2023-05-03,20:12,14,8
2023-05-03,21:29,16,6
2023-05-03,22:17,14,12
2023-05-03,23:13,14,12
2023-05-04,00:15,14,14
2023-05-04,01:19,12,10
2023-05-04,02:12,10,6
2023-05-04,03:17,6,4
