店舗:,生クリームPie
日付,時間,出勤数,待機
2023-04-10,03:16,1,1
2023-04-10,04:10,0,0
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,12,0
2023-04-10,11:28,12,0
2023-04-10,13:17,12,5
2023-04-10,14:14,12,4
2023-04-10,17:18,12,7
2023-04-10,19:15,12,7
2023-04-10,20:11,12,8
2023-04-10,21:28,12,9
2023-04-10,23:12,11,4
2023-04-11,00:13,10,6
2023-04-11,02:12,6,6
2023-04-11,03:18,1,1
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,0,0
2023-04-11,11:30,12,0
2023-04-11,13:17,12,3
2023-04-11,15:19,12,8
2023-04-11,16:14,12,7
2023-04-11,17:19,11,4
2023-04-11,19:16,12,9
2023-04-11,20:12,12,11
2023-04-11,21:29,12,7
2023-04-11,22:18,12,8
2023-04-12,10:12,1,1
2023-04-12,11:30,12,1
2023-04-12,12:15,12,1
2023-04-12,13:17,12,5
2023-04-12,14:13,12,4
2023-04-12,15:19,14,8
2023-04-12,16:13,15,10
2023-04-12,17:18,15,10
2023-04-12,19:15,15,10
2023-04-12,22:18,14,6
2023-04-14,00:15,11,9
2023-04-14,01:18,11,10
2023-04-14,02:12,6,4
2023-04-14,03:18,5,4
2023-04-14,04:11,0,0
2023-04-14,05:15,0,0
2023-04-14,06:12,0,0
2023-04-14,07:13,0,0
2023-04-14,08:14,0,0
2023-04-14,10:13,0,0
