店舗:,東京アイドル研究生
日付,時間,出勤数,待機
2023-05-03,01:19,17,1
2023-05-03,02:13,17,1
2023-05-03,03:18,17,1
2023-05-03,04:12,17,1
2023-05-03,05:15,17,1
2023-05-03,06:12,17,1
2023-05-03,07:13,17,5
2023-05-03,08:14,17,5
2023-05-03,10:15,17,5
2023-05-03,11:30,16,7
2023-05-03,12:15,16,8
2023-05-03,13:17,12,1
2023-05-03,14:13,11,1
2023-05-03,15:18,11,1
2023-05-03,16:14,11,6
2023-05-03,17:18,11,6
2023-05-03,18:14,11,6
2023-05-03,19:15,10,5
2023-05-03,20:12,9,3
2023-05-03,21:29,7,4
2023-05-03,22:17,7,4
2023-05-03,23:13,2,1
2023-05-04,00:15,1,1
2023-05-04,01:19,22,1
2023-05-04,02:12,22,1
2023-05-04,03:17,22,1
2023-05-04,04:11,22,1
2023-05-04,05:15,22,1
2023-05-04,06:13,22,1
2023-05-04,07:14,21,2
2023-05-04,08:14,20,2
2023-05-04,10:12,20,3
2023-05-04,11:30,19,4
2023-05-04,12:15,18,8
2023-05-04,13:17,16,8
2023-05-04,14:13,16,1
2023-05-04,15:18,16,1
2023-05-04,16:14,16,1
2023-05-04,17:18,15,2
2023-05-04,18:14,14,10
2023-05-04,19:15,10,5
2023-05-04,20:12,8,4
2023-05-04,21:28,2,1
2023-05-04,22:18,2,1
2023-05-04,23:13,2,1
2023-05-05,00:15,1,1
2023-05-05,01:28,18,1
2023-05-05,02:12,18,1
2023-05-05,03:18,18,1
2023-05-05,04:11,18,1
2023-05-05,05:15,18,1
