店舗:,リーマンブラザーズ
日付,時間,出勤数,待機
2023-04-10,03:16,81,0
2023-04-10,04:10,102,0
2023-04-10,05:14,102,0
2023-04-10,06:11,90,0
2023-04-10,07:12,90,0
2023-04-10,08:13,90,0
2023-04-10,10:11,99,0
2023-04-10,11:28,99,0
2023-04-10,13:17,99,3
2023-04-10,14:14,99,2
2023-04-10,17:18,99,5
2023-04-10,19:15,97,5
2023-04-10,20:11,97,4
2023-04-10,21:28,97,3
2023-04-10,23:12,97,4
2023-04-11,00:13,97,3
2023-04-11,02:12,95,5
2023-04-11,03:18,107,0
2023-04-11,05:15,107,0
2023-04-11,06:12,76,0
2023-04-11,07:13,76,0
2023-04-11,08:14,76,0
2023-04-11,10:12,85,0
2023-04-11,11:30,85,0
2023-04-11,13:17,85,3
