店舗:,東京ブレンダ
日付,時間,出勤数,待機
2023-05-03,01:19,3,1
2023-05-03,02:13,2,2
2023-05-03,03:18,2,2
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,12,1
2023-05-03,11:30,12,1
2023-05-03,12:15,12,1
2023-05-03,13:17,13,2
2023-05-03,14:13,12,3
2023-05-03,15:18,12,5
2023-05-03,16:14,12,5
2023-05-03,17:18,13,5
2023-05-03,18:14,12,4
2023-05-03,19:15,11,6
2023-05-03,20:12,11,7
2023-05-03,21:29,10,5
2023-05-03,22:17,10,6
2023-05-03,23:13,8,8
2023-05-04,00:15,4,4
2023-05-04,01:19,3,3
2023-05-04,02:12,3,3
2023-05-04,03:17,3,3
2023-05-04,04:11,3,3
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,15,1
2023-05-04,11:30,15,1
2023-05-04,12:15,15,1
2023-05-04,13:17,15,1
2023-05-04,14:13,15,1
2023-05-04,15:18,13,1
2023-05-04,16:14,11,2
2023-05-04,17:18,11,2
2023-05-04,18:14,11,3
2023-05-04,19:15,11,5
