店舗:,すすきのバツグンNet
日付,時間,出勤数,待機
2023-05-03,01:19,16,12
2023-05-03,02:13,8,4
2023-05-03,03:18,0,0
2023-05-03,04:12,0,0
2023-05-03,05:15,0,0
2023-05-03,06:12,0,0
2023-05-03,07:13,0,0
2023-05-03,08:14,0,0
2023-05-03,10:15,6,2
2023-05-03,11:30,8,4
2023-05-03,12:15,8,4
2023-05-03,13:17,12,4
2023-05-03,14:13,12,6
2023-05-03,15:18,14,6
2023-05-03,16:14,14,10
2023-05-03,17:18,20,12
2023-05-03,18:14,26,14
2023-05-03,19:15,26,12
2023-05-03,20:12,28,16
2023-05-03,21:29,26,22
2023-05-03,22:17,22,18
2023-05-03,23:13,18,16
2023-05-04,00:15,20,16
2023-05-04,01:19,14,8
2023-05-04,02:12,10,2
2023-05-04,03:17,2,0
2023-05-04,04:11,2,0
2023-05-04,05:15,2,0
2023-05-04,06:13,0,0
2023-05-04,07:14,0,0
2023-05-04,08:14,0,0
2023-05-04,10:12,8,4
2023-05-04,11:30,8,4
2023-05-04,12:15,8,4
2023-05-04,13:17,12,2
2023-05-04,14:13,12,6
2023-05-04,15:18,12,10
2023-05-04,16:14,10,6
2023-05-04,17:18,16,2
2023-05-04,18:14,20,6
2023-05-04,19:15,16,10
2023-05-04,20:12,16,8
2023-05-04,21:28,20,8
2023-05-04,22:18,22,12
2023-05-04,23:13,24,16
2023-05-05,00:15,18,14
2023-05-05,01:28,12,8
2023-05-05,02:12,8,2
2023-05-05,03:18,4,2
2023-05-05,04:11,0,0
2023-05-05,05:15,0,0
2023-05-05,06:12,0,0
2023-05-05,07:13,0,0
2023-05-05,08:15,0,0
2023-05-05,10:07,2,0
2023-05-05,11:29,2,0
2023-05-05,12:15,10,4
2023-05-05,13:17,12,4
2023-05-05,14:13,18,6
2023-05-05,15:19,20,4
2023-05-05,16:13,20,10
2023-05-05,17:17,18,8
2023-05-05,18:14,18,10
2023-05-05,19:15,24,6
2023-05-05,20:12,24,14
2023-05-05,21:27,20,16
2023-05-05,22:17,20,14
2023-05-05,23:13,18,12
2023-05-06,00:14,16,8
2023-05-06,01:19,10,6
2023-05-06,02:12,4,0
2023-05-06,03:17,2,0
2023-05-06,04:11,0,0
2023-05-06,05:14,0,0
2023-05-06,06:12,0,0
2023-05-06,07:13,0,0
2023-05-06,08:14,0,0
2023-05-06,10:10,0,0
2023-05-06,11:27,4,0
2023-05-06,12:15,4,0
2023-05-06,13:16,4,4
2023-05-06,14:13,8,8
