店舗:,ファイナルアタック
日付,時間,出勤数,待機
2023-04-10,03:16,7,4
2023-04-10,04:10,3,2
2023-04-10,05:14,1,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,38,2
2023-04-10,11:28,38,2
2023-04-10,13:17,36,10
2023-04-10,14:14,36,10
2023-04-10,17:18,30,12
2023-04-10,19:15,30,12
2023-04-10,20:11,28,8
2023-04-10,21:28,24,10
2023-04-10,23:12,22,8
2023-04-11,00:13,18,4
2023-04-11,02:12,12,0
2023-04-11,03:18,8,0
2023-04-11,05:15,2,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,30,2
2023-04-11,11:30,30,2
2023-04-11,13:17,32,8
2023-04-11,15:19,28,8
2023-04-11,16:14,26,6
2023-04-11,17:19,26,12
2023-04-11,19:16,20,8
2023-04-11,20:12,18,4
2023-04-11,21:29,16,6
2023-04-11,22:18,12,4
2023-04-12,10:12,24,2
2023-04-12,11:30,24,0
2023-04-12,12:15,20,2
2023-04-12,13:17,20,0
2023-04-12,14:13,20,2
2023-04-12,15:19,20,2
2023-04-12,16:13,20,2
2023-04-12,17:18,20,10
2023-04-12,19:15,18,4
2023-04-12,22:18,16,6
2023-04-14,00:15,12,0
2023-04-14,01:18,10,8
2023-04-14,02:12,8,8
2023-04-14,03:18,8,6
2023-04-14,04:11,4,2
2023-04-14,05:15,0,0
2023-04-14,06:12,0,0
2023-04-14,07:13,0,0
2023-04-14,08:14,22,0
2023-04-14,10:13,22,2
2023-04-14,11:29,22,0
2023-04-14,12:15,22,0
2023-04-14,13:17,20,4
2023-04-14,14:13,16,0
2023-04-14,15:19,12,0
2023-04-14,16:13,12,4
2023-04-14,17:18,10,4
2023-04-14,18:14,10,6
2023-04-14,19:15,8,0
2023-04-14,20:12,8,2
2023-04-14,21:28,8,0
2023-04-14,22:18,8,0
2023-04-14,23:13,8,0
2023-04-15,00:15,6,0
2023-04-15,01:19,6,0
2023-04-15,02:11,6,0
2023-04-15,03:17,8,2
2023-04-15,04:11,4,0
2023-04-15,05:15,2,0
2023-04-15,06:12,0,0
2023-04-15,07:13,0,0
2023-04-15,08:14,0,0
2023-04-15,10:15,24,4
2023-04-15,11:30,22,0
2023-04-15,12:15,20,0
2023-04-15,13:17,20,0
2023-04-15,14:13,20,0
2023-04-15,15:17,20,6
2023-04-15,16:12,20,4
2023-04-15,17:17,20,2
2023-04-15,18:13,20,4
2023-04-15,19:14,20,4
2023-04-15,20:11,20,0
2023-04-15,21:26,16,4
2023-04-15,22:15,16,2
2023-04-15,23:12,14,0
2023-04-16,00:13,16,6
2023-04-16,01:18,10,2
2023-04-16,02:12,10,2
2023-04-16,03:17,8,4
2023-04-16,04:11,6,4
2023-04-16,05:14,0,0
2023-04-16,06:12,0,0
2023-04-16,07:13,0,0
2023-04-16,08:13,6,0
2023-04-16,10:17,18,2
2023-04-16,11:34,18,0
2023-04-16,12:15,18,0
2023-04-16,13:17,18,0
2023-04-16,14:13,18,2
2023-04-16,15:18,18,2
2023-04-16,16:12,16,0
2023-04-16,17:17,16,0
2023-04-16,18:13,0,0
2023-04-16,19:14,16,2
2023-04-16,20:11,12,2
2023-04-16,21:26,12,4
2023-04-16,22:16,12,2
2023-04-17,00:13,5,5
2023-04-17,01:18,5,5
2023-04-17,02:12,4,4
2023-04-17,03:17,4,4
2023-04-17,04:11,3,3
2023-04-17,05:14,1,1
2023-04-17,06:12,2,1
2023-04-17,07:13,18,1
2023-04-17,08:14,18,1
2023-04-17,10:14,17,3
2023-04-17,11:31,16,4
2023-04-17,12:15,18,4
2023-04-17,13:18,18,3
2023-04-17,14:14,18,3
2023-04-17,15:19,16,5
2023-04-17,16:14,16,3
2023-04-17,17:19,16,5
2023-04-17,18:15,15,6
2023-04-17,19:16,12,3
2023-04-17,20:12,11,6
2023-04-17,21:30,10,4
2023-04-17,22:18,10,7
2023-04-17,23:14,8,6
2023-04-18,00:15,9,7
2023-04-18,01:19,9,7
2023-04-18,02:13,8,7
2023-04-18,03:18,7,5
2023-04-18,04:10,6,4
2023-04-18,05:15,3,1
2023-04-18,06:12,19,1
2023-04-18,07:13,19,1
2023-04-18,08:14,19,2
2023-04-18,10:12,19,3
2023-04-18,11:30,18,2
2023-04-18,12:15,18,4
2023-04-18,13:18,17,4
2023-04-18,14:13,16,5
