店舗:,ぷるるん小町京橋店
日付,時間,出勤数,待機
2023-04-17,00:13,1,1
2023-04-17,01:18,1,1
2023-04-17,02:12,1,1
2023-04-17,03:17,1,1
2023-04-17,04:11,1,1
2023-04-17,05:14,1,1
2023-04-17,06:12,1,1
2023-04-17,07:13,1,1
2023-04-17,08:14,1,1
2023-04-17,10:14,15,4
2023-04-17,11:31,14,6
2023-04-17,12:15,13,5
2023-04-17,13:18,9,5
2023-04-17,14:14,7,3
2023-04-17,15:19,7,3
2023-04-17,16:14,6,3
2023-04-17,17:19,6,4
2023-04-17,18:15,6,4
2023-04-17,19:16,6,3
2023-04-17,20:12,6,4
2023-04-17,21:30,4,4
2023-04-17,22:18,1,1
2023-04-17,23:14,1,1
2023-04-18,00:15,1,1
2023-04-18,01:19,1,1
2023-04-18,02:13,1,1
2023-04-18,03:18,1,1
2023-04-18,04:10,1,1
2023-04-18,05:15,1,1
2023-04-18,06:12,1,1
2023-04-18,07:13,1,1
2023-04-18,08:14,1,1
