店舗:,東京渋谷Z-Ton
日付,時間,出勤数,待機
2023-05-03,01:19,4,2
2023-05-03,02:13,3,1
2023-05-03,03:18,2,2
2023-05-03,04:12,2,2
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,1,1
2023-05-03,13:17,1,1
2023-05-03,14:13,1,1
2023-05-03,15:18,6,4
2023-05-03,16:14,6,4
2023-05-03,17:18,6,6
2023-05-03,18:14,6,6
2023-05-03,19:15,6,6
2023-05-03,20:12,9,7
2023-05-03,21:29,9,8
2023-05-03,22:17,8,7
2023-05-03,23:13,9,8
