店舗:,マリアージュ宇都宮
日付,時間,出勤数,待機
2023-04-10,03:16,8,6
2023-04-10,04:10,8,8
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,10,0
2023-04-10,08:13,10,0
2023-04-10,10:11,10,0
2023-04-10,11:28,10,0
2023-04-10,13:17,10,0
2023-04-10,14:14,10,0
2023-04-10,17:18,8,0
2023-04-10,19:15,10,4
2023-04-10,20:11,10,6
2023-04-10,21:28,10,4
2023-04-10,23:12,6,2
2023-04-11,00:13,6,2
2023-04-11,02:12,2,0
2023-04-11,03:18,2,0
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,12,0
2023-04-11,08:14,12,0
2023-04-11,10:12,12,0
2023-04-11,11:30,12,0
2023-04-11,13:17,12,2
2023-04-11,15:19,12,0
2023-04-11,16:14,10,0
2023-04-11,17:19,10,2
2023-04-11,19:16,10,2
2023-04-11,20:12,12,4
2023-04-11,21:29,12,4
2023-04-11,22:18,12,6
2023-04-12,10:12,14,0
2023-04-12,11:30,14,0
2023-04-12,12:15,14,0
