店舗:,スリピ
日付,時間,出勤数,待機
2023-04-10,03:16,8,4
2023-04-10,04:10,8,4
2023-04-10,05:14,6,2
2023-04-10,06:11,12,0
2023-04-10,07:12,12,0
2023-04-10,08:13,12,0
2023-04-10,10:11,12,0
2023-04-10,11:28,12,0
2023-04-10,13:17,10,2
2023-04-10,14:14,10,2
2023-04-10,17:18,10,0
2023-04-10,19:15,10,6
2023-04-10,20:11,10,8
2023-04-10,21:28,10,8
2023-04-10,23:12,10,8
2023-04-11,00:13,10,8
2023-04-11,02:12,10,8
2023-04-11,03:18,6,6
2023-04-11,05:15,0,0
2023-04-11,06:12,16,0
2023-04-11,07:13,16,0
2023-04-11,08:14,16,0
2023-04-11,10:12,16,0
2023-04-11,11:30,16,0
2023-04-11,13:17,16,0
