店舗:,神奈川ミント
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,14,2
2023-05-03,10:15,14,2
2023-05-03,11:30,14,4
2023-05-03,12:15,14,3
2023-05-03,13:17,14,5
2023-05-03,14:13,14,8
2023-05-03,15:18,13,6
2023-05-03,16:14,9,5
2023-05-03,17:18,9,8
2023-05-03,18:14,8,4
2023-05-03,19:15,7,4
2023-05-03,20:12,5,5
2023-05-03,21:29,3,3
2023-05-03,22:17,3,3
2023-05-03,23:13,1,1
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
