店舗:,新潟県わちゃわちゃ
日付,時間,出勤数,待機
2023-05-03,01:19,4,2
2023-05-03,02:13,2,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,8,2
2023-05-03,11:30,8,2
2023-05-03,12:15,8,1
2023-05-03,13:17,8,3
2023-05-03,14:13,8,6
2023-05-03,15:18,8,7
2023-05-03,16:14,8,7
2023-05-03,17:18,8,6
2023-05-03,18:14,8,6
2023-05-03,19:15,8,5
2023-05-03,20:12,8,6
2023-05-03,21:29,8,8
2023-05-03,22:17,8,5
2023-05-03,23:13,7,6
2023-05-04,00:15,6,5
2023-05-04,01:19,6,5
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,7,1
2023-05-04,12:15,7,1
2023-05-04,13:17,7,1
2023-05-04,14:13,7,4
2023-05-04,15:18,7,6
2023-05-04,16:14,7,7
2023-05-04,17:18,7,6
2023-05-04,18:14,7,7
2023-05-04,19:15,7,5
2023-05-04,20:12,7,5
2023-05-04,21:28,7,5
2023-05-04,22:18,7,4
2023-05-04,23:13,6,4
2023-05-05,00:15,6,4
